,Actual size,Exposure,Maintenance fees,Age of building,Outdoor space,Locker,Property type:,Area:,Parking,Bed,Studio,Bath,Den
207,844,8,599.15,3,3,3,1,105,0,2,0,2,1
208,663,8,587.09,7,2,4,1,92,1,1,0,1,1
209,701,6,706.65,30,2,4,1,129,0,1,0,1,0
210,1688,5,2644.67,,1,4,1,42,0,3,0,3,0
211,896,8,639,0,3,4,1,107,1,2,0,2,1
212,570,2,387.81,1,1,3,1,1,1,1,0,1,1
213,1234,5,894,35,2,3,1,36,1,3,0,2,0
214,893,5,515.06,7,3,4,1,68,1,2,0,2,1
215,495,2,304.9,3,1,3,1,78,0,1,0,1,1
216,3487,7,2733,20,3,2,2,76,2,3,0,4,0
217,1003,7,1440.92,28,1,4,1,126,1,2,0,2,0
218,665,7,491.86,2,4,4,1,7,0,2,0,2,0
219,1602,7,1637.38,9,3,3,1,91,1,2,0,3,0
220,1191,7,752.65,12,4,4,1,118,0,2,0,2,1
221,563,7,493.38,1,3,3,1,68,0,1,0,1,1
222,1067,7,744.32,25,3,4,1,118,1,2,0,2,0
223,1374,7,1014.27,31,2,1,1,40,0,2,0,2,1
224,443,9,408.72,1,3,4,1,21,0,1,0,1,0
225,1028,3,827,9,3,4,1,8,0,2,0,2,1
226,714,9,604.09,3,3,4,1,81,0,2,0,2,0
227,454,8,363.86,8,2,4,1,76,1,1,0,1,0
228,565,8,372.65,7,3,4,1,57,1,1,0,1,0
229,515,3,482.2,5,3,4,1,113,0,1,0,1,0
230,518,8,404.41,6,3,4,1,76,1,1,0,1,0
231,1350,9,1058.93,38,2,1,1,124,0,2,0,2,0
232,1079,0,867.5,22,3,4,1,118,0,2,0,2,0
233,502,9,422.07,16,3,4,1,48,0,1,0,1,0
234,984,8,808.66,10,3,4,1,49,1,2,0,2,0
235,633,6,478,3,3,3,1,108,0,1,0,1,1
236,615,0,374.33,13,3,4,1,113,0,1,0,1,0
237,359,0,247.36,2,3,3,1,81,0,,1,1,0
238,785,6,439.29,0,1,3,1,21,0,2,0,2,0
239,937,9,961.57,23,2,3,1,21,0,1,0,2,0
240,548,6,418.58,6,2,4,1,24,0,1,0,1,0
